Player_URL,Name,Team_URL,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/381713/Show/Luis-Rioja,Luis Rioja,https://www.whoscored.com/Teams/60/Show/Spain-Deportivo-Alaves,"Deportivo Alaves, ",30,",  AM(LR)  ",31(6),2515	,5	,4	,4	,-	,1.5	,74.9	,0.3	,3	,6.66
https://www.whoscored.com/Players/463838/Show/Ferm%C3%ADn-L%C3%B3pez,Fermín López,https://www.whoscored.com/Teams/65/Show/Spain-Barcelona,"Barcelona, ",21,",  AM(C)  ",14(17),1446	,8	,-	,2	,-	,1.6	,85	,0.3	,1	,6.65
https://www.whoscored.com/Players/323148/Show/Marc-Roca,Marc Roca,https://www.whoscored.com/Teams/54/Show/Spain-Real-Betis,"Real Betis, ",27,",  D(C),DMC  ",24(2),1988	,2	,2	,5	,-	,0.8	,85.5	,0.4	,-	,6.65
https://www.whoscored.com/Players/254582/Show/Marcos-Llorente,Marcos Llorente,https://www.whoscored.com/Teams/63/Show/Spain-Atletico,"Atletico, ",29,",  D(R),M(CR),FW  ",29(8),2573	,6	,4	,5	,-	,0.8	,83.3	,0.5	,2	,6.65
https://www.whoscored.com/Players/130331/Show/Andreas-Christensen,Andreas Christensen,https://www.whoscored.com/Teams/65/Show/Spain-Barcelona,"Barcelona, ",28,",  D(C),DMC  ",27(3),1999	,2	,2	,4	,-	,0.4	,94.3	,1.8	,-	,6.65
https://www.whoscored.com/Players/357839/Show/Dani-Vivian,Dani Vivian,https://www.whoscored.com/Teams/53/Show/Spain-Athletic-Club,"Athletic Club, ",25,",  D(C)  ",31(2),2879	,-	,-	,6	,-	,0.3	,84.4	,1	,-	,6.65
https://www.whoscored.com/Players/422958/Show/%C3%93scar-Valent%C3%ADn,Óscar Valentín,https://www.whoscored.com/Teams/64/Show/Spain-Rayo-Vallecano,"Rayo Vallecano, ",29,",  DMC  ",32(2),2702	,1	,-	,5	,1	,0.4	,81.7	,1	,1	,6.65
https://www.whoscored.com/Players/297403/Show/Kieran-Tierney,Kieran Tierney,https://www.whoscored.com/Teams/68/Show/Spain-Real-Sociedad,"Real Sociedad, ",27,",  D(CL),M(L)  ",14(6),1244	,-	,2	,1	,-	,0.1	,80.1	,0.8	,1	,6.65
https://www.whoscored.com/Players/112161/Show/Sa%C3%BAl-%C3%91%C3%ADguez,Saúl Ñíguez,https://www.whoscored.com/Teams/63/Show/Spain-Atletico,"Atletico, ",29,",  D(CL),M(CLR)  ",14(20),1365	,1	,5	,8	,1	,0.5	,82.1	,1.4	,2	,6.65
https://www.whoscored.com/Players/135061/Show/Predrag-Rajkovic,Predrag Rajkovic,https://www.whoscored.com/Teams/51/Show/Spain-Mallorca,"Mallorca, ",28,",  GK  ",36,3240	,-	,-	,2	,-	,-	,55.1	,0.2	,3	,6.65
https://www.whoscored.com/Players/371039/Show/Juli%C3%A1n-Araujo,Julián Araujo,https://www.whoscored.com/Teams/838/Show/Spain-Las-Palmas,"Las Palmas, ",22,",  D(R),M(R)  ",15(10),1462	,1	,-	,5	,-	,0.3	,83.3	,1.2	,-	,6.65
https://www.whoscored.com/Players/414643/Show/Be%C3%B1at-Prados,Beñat Prados,https://www.whoscored.com/Teams/53/Show/Spain-Athletic-Club,"Athletic Club, ",23,",  DMC  ",16(10),1452	,-	,-	,1	,-	,0.3	,83.4	,1.2	,-	,6.64
https://www.whoscored.com/Players/315566/Show/Igor-Zubeldia,Igor Zubeldia,https://www.whoscored.com/Teams/68/Show/Spain-Real-Sociedad,"Real Sociedad, ",27,",  D(C),DMC  ",29(1),2524	,-	,2	,11	,1	,0.4	,85	,2.8	,-	,6.64
https://www.whoscored.com/Players/303729/Show/Marcos-Acu%C3%B1a,Marcos Acuña,https://www.whoscored.com/Teams/67/Show/Spain-Sevilla,"Sevilla, ",32,",  D(CL),M(CL)  ",18(3),1304	,1	,2	,7	,-	,0.4	,79.7	,0.7	,1	,6.64
https://www.whoscored.com/Players/425591/Show/Cristhian-Mosquera,Cristhian Mosquera,https://www.whoscored.com/Teams/55/Show/Spain-Valencia,"Valencia, ",20,",  D(C)  ",33(3),3075	,-	,-	,2	,-	,0.3	,88.6	,1.4	,1	,6.64
https://www.whoscored.com/Players/381510/Show/Oihan-Sancet,Oihan Sancet,https://www.whoscored.com/Teams/53/Show/Spain-Athletic-Club,"Athletic Club, ",24,",  M(C),FW  ",25(5),1993	,4	,5	,3	,2	,1.4	,82.8	,0.8	,1	,6.64
https://www.whoscored.com/Players/119189/Show/Rub%C3%A9n-Garc%C3%ADa,Rubén García,https://www.whoscored.com/Teams/131/Show/Spain-Osasuna,"Osasuna, ",30,",  AM(CLR),FW  ",19(11),1552	,3	,2	,1	,-	,0.9	,72.7	,1	,-	,6.63
https://www.whoscored.com/Players/296337/Show/Ferland-Mendy,Ferland Mendy,https://www.whoscored.com/Teams/52/Show/Spain-Real-Madrid,"Real Madrid, ",29,",  D(L),M(L)  ",21(2),1727	,-	,-	,5	,-	,0.2	,94.2	,0.3	,-	,6.63
https://www.whoscored.com/Players/474267/Show/Iker-Mu%C3%B1oz,Iker Muñoz,https://www.whoscored.com/Teams/131/Show/Spain-Osasuna,"Osasuna, ",21,",  DMC  ",20(8),1855	,4	,-	,5	,-	,0.8	,76.2	,2	,1	,6.63
https://www.whoscored.com/Players/6227/Show/Dani-Rodr%C3%ADguez,Dani Rodríguez,https://www.whoscored.com/Teams/51/Show/Spain-Mallorca,"Mallorca, ",36,",  AM(CLR)  ",31(5),2635	,2	,4	,9	,-	,0.8	,77.3	,0.6	,1	,6.63
https://www.whoscored.com/Players/77636/Show/Willian-Jos%C3%A9,Willian José,https://www.whoscored.com/Teams/54/Show/Spain-Real-Betis,"Real Betis, ",32,",  FW  ",25(8),1984	,10	,5	,-	,1	,1.5	,80.1	,1	,2	,6.63
https://www.whoscored.com/Players/362735/Show/Santi-Comesa%C3%B1a,Santi Comesaña,https://www.whoscored.com/Teams/839/Show/Spain-Villarreal,"Villarreal, ",27,",  M(C)  ",20(7),1656	,2	,-	,6	,2	,0.6	,87.3	,1.1	,2	,6.63
https://www.whoscored.com/Players/367583/Show/Aihen-Mu%C3%B1oz,Aihen Muñoz,https://www.whoscored.com/Teams/68/Show/Spain-Real-Sociedad,"Real Sociedad, ",26,",  D(L)  ",11(10),1120	,-	,2	,2	,-	,0.3	,77.3	,1.1	,-	,6.63
https://www.whoscored.com/Players/430511/Show/Mika-M%C3%A1rmol,Mika Mármol,https://www.whoscored.com/Teams/838/Show/Spain-Las-Palmas,"Las Palmas, ",23,",  D(C)  ",36,3181	,-	,1	,4	,1	,0.1	,89	,0.9	,-	,6.63
https://www.whoscored.com/Players/422656/Show/Diego-L%C3%B3pez,Diego López,https://www.whoscored.com/Teams/55/Show/Spain-Valencia,"Valencia, ",22,",  AM(LR),FW  ",30(6),2672	,3	,6	,2	,-	,1.1	,69	,1.2	,1	,6.62
https://www.whoscored.com/Players/261516/Show/Mikel-Vesga,Mikel Vesga,https://www.whoscored.com/Teams/53/Show/Spain-Athletic-Club,"Athletic Club, ",31,",  DMC  ",18(9),1537	,3	,1	,2	,-	,0.7	,78	,1.1	,-	,6.61
https://www.whoscored.com/Players/448211/Show/Alberto-Moleiro,Alberto Moleiro,https://www.whoscored.com/Teams/838/Show/Spain-Las-Palmas,"Las Palmas, ",20,",  AM(L)  ",21(7),1811	,3	,3	,1	,-	,1.2	,81.8	,-	,-	,6.61
