Name,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS,Crosses,LongB,ThrB,Rating
Andrea Pinamonti,"Sassuolo, ",25,",  FW  ",37(1),3100	,1	,0.5	,16.3	,66.3	,-	,0.3	,-	,6.61
Pontus Almqvist,"Lecce, ",25,",  AM(LR),FW  ",25(5),2115	,1	,0.9	,15.1	,75.8	,0.2	,0.3	,-	,6.61
Patrick Ciurria,"Monza, ",29,",  M(CLR)  ",18(4),1602	,1	,1.4	,31.9	,79	,0.8	,1	,-	,6.60
Davide Zappacosta,"Atalanta, ",32,",  D(LR),M(LR)  ",23(8),1878	,1	,0.5	,25.9	,88.1	,0.8	,0.7	,-	,6.60
Leo Østigård,"Napoli, ",24,",  D(C)  ",19(7),1624	,-	,0.1	,51	,88.1	,-	,2.3	,-	,6.60
Pawel Dawidowicz,"Verona, ",29,",  D(C)  ",25(3),2144	,-	,0.1	,41.4	,83.2	,-	,2.8	,-	,6.60
Kristian Thorstvedt,"Sassuolo, ",25,",  M(C)  ",30(4),2413	,1	,1.1	,27.9	,74.1	,0.1	,1.3	,-	,6.60
Leonardo Spinazzola,"Roma, ",31,",  D(LR),M(L)  ",15(9),1313	,2	,1.1	,27.3	,82.7	,1	,1.3	,0.1	,6.60
Sead Kolasinac,"Atalanta, ",31,",  D(CL),DMC,M(L)  ",25(5),2183	,-	,0.3	,40.4	,84.9	,0.1	,0.7	,-	,6.59
Riccardo Sottil,"Fiorentina, ",25,",  AM(LR)  ",13(9),1110	,3	,0.6	,17	,85.3	,0.5	,0.5	,-	,6.59
Suat Serdar,"Verona, ",27,",  M(CLR)  ",19(6),1665	,2	,0.7	,23.5	,75	,0.1	,2.6	,-	,6.59
Malick Thiaw,"AC Milan, ",22,",  D(C)  ",19(2),1621	,1	,0.2	,56.1	,91.6	,-	,2	,-	,6.59
Nikola Krstovic,"Lecce, ",24,",  FW  ",30(5),2391	,1	,1.2	,14.7	,67.4	,0.1	,0.4	,0.1	,6.59
Florian Thauvin,"Udinese, ",31,",  M(CLR),FW  ",19(10),1717	,3	,1.3	,15.7	,77.8	,0.8	,1	,-	,6.58
Sebastian Walukiewicz,"Empoli, ",24,",  D(C)  ",23(4),2056	,-	,0.1	,37.5	,83.1	,-	,3	,-	,6.58
Marin Pongracic,"Lecce, ",26,",  D(C)  ",36,3220	,-	,0.3	,51.7	,84.8	,-	,4.8	,-	,6.58
Pablo Marí,"Monza, ",30,",  D(C)  ",30(4),2618	,-	,0.1	,50.6	,91.3	,-	,4.4	,-	,6.58
Sebastiano Luperto,"Empoli, ",27,",  D(CL)  ",38,3407	,1	,0.3	,45.6	,83	,-	,2.2	,-	,6.58
Antonino Gallo,"Lecce, ",24,",  D(L)  ",30(5),2504	,3	,1.3	,28.9	,75.4	,1.1	,2.3	,-	,6.58
Alessandro Vogliacco,"Genoa, ",25,",  D(C)  ",14(6),1175	,1	,0.7	,28.9	,79.7	,0.4	,1.8	,-	,6.58
Juan Jesus,"Napoli, ",33,",  D(CL)  ",23(1),2118	,-	,0.2	,70.5	,90.8	,-	,3.6	,-	,6.58
Mattia Bani,"Genoa, ",30,",  D(C)  ",27,2310	,-	,0.1	,42.2	,83.9	,-	,2.3	,-	,6.58
Stephan El Shaarawy,"Roma, ",31,",  M(CLR),FW  ",19(14),1740	,4	,0.6	,18.3	,83.7	,0.2	,0.6	,-	,6.57
Hassane Kamara,"Udinese, ",30,",  D(L),M(LR)  ",27(8),2241	,1	,0.6	,18	,77.8	,0.5	,0.8	,-	,6.57
Luca Ranieri,"Fiorentina, ",25,",  D(CL),M(L)  ",23(3),2068	,1	,0.3	,51.1	,84.8	,0.1	,4.5	,-	,6.57
Lorenzo Lucca,"Udinese, ",23,",  FW  ",30(7),2602	,4	,0.5	,11.9	,61.1	,-	,0.3	,-	,6.56
Danilo D'Ambrosio,"Monza, ",35,",  D(CLR),M(LR)  ",16(8),1535	,-	,0.2	,44.2	,90.1	,-	,1.6	,-	,6.56
Valentín Castellanos,"Lazio, ",25,",  AM(R),FW  ",16(19),1676	,3	,0.5	,12.4	,62.3	,-	,0.3	,-	,6.56
Samuele Ricci,"Torino, ",22,",  AM(C)  ",28(4),2407	,2	,0.8	,38.9	,88.5	,0.3	,1.2	,-	,6.56
Nahitan Nández,"Cagliari, ",28,",  D(R),M(CLR)  ",29(4),2357	,3	,1.3	,21	,65.9	,1.1	,1.2	,-	,6.56
Sam Beukema,"Bologna, ",25,",  D(C)  ",29(1),2550	,1	,0.2	,67.7	,90.1	,-	,3.2	,-	,6.56
Martín Payero,"Udinese, ",25,",  AM(C)  ",21(8),1801	,2	,0.5	,17.8	,77.9	,0.1	,0.6	,-	,6.56
Sandi Lovric,"Udinese, ",26,",  AM(C)  ",21(8),1990	,3	,1.5	,21.4	,81.2	,1	,0.9	,-	,6.56
Alberto Grassi,"Empoli, ",29,",  DMC  ",22(5),1815	,1	,0.2	,31.4	,81.6	,-	,1.7	,0.1	,6.56
Nicolò Cambiaghi,"Empoli, ",23,",  AM(CLR),FW  ",29(8),2564	,1	,0.8	,15	,81.2	,0.8	,0.5	,0.1	,6.55
Ardian Ismajli,"Empoli, ",27,",  D(C)  ",23(3),2046	,-	,0.2	,38	,84.7	,-	,2.2	,-	,6.55
Simon Kjær,"AC Milan, ",35,",  D(C)  ",14(6),1172	,1	,0.2	,41.5	,88.4	,-	,2.1	,-	,6.55
Dany Mota,"Monza, ",26,",  AM(CL),FW  ",24(10),2060	,3	,1	,21.7	,79.8	,0.9	,1.1	,-	,6.55
Patric,"Lazio, ",31,",  D(CR),M(R)  ",19(1),1610	,-	,0.2	,58.4	,88.7	,0.1	,5	,-	,6.55
Dan Ndoye,"Bologna, ",23,",  M(LR)  ",20(12),1776	,1	,0.7	,17.1	,83.5	,0.2	,0.7	,-	,6.55
Ruslan Malinovskyi,"Genoa, ",31,",  M(CLR),FW  ",18(10),1550	,1	,0.4	,24.6	,81.6	,0.2	,1.5	,-	,6.54
Giacomo Raspadori,"Napoli, ",24,",  AM(CL),FW  ",14(23),1574	,3	,1	,17.2	,79.9	,0.4	,1.1	,0.1	,6.54
Roberto Pereyra,"Udinese, ",33,",  M(CLR),FW  ",22(5),1865	,3	,0.9	,20.6	,81.7	,0.3	,0.7	,-	,6.54
Matías Vecino,"Lazio, ",32,",  M(C)  ",8(23),1136	,1	,0.2	,23.7	,83.9	,-	,0.8	,-	,6.54
Tommaso Augello,"Cagliari, ",29,",  D(L),M(L)  ",28(4),2432	,1	,0.8	,29.1	,74.7	,1.1	,1.6	,-	,6.54
Enzo Barrenechea,"Frosinone, ",23,",  DMC  ",32(4),2819	,1	,0.7	,52.6	,85.5	,-	,2.2	,-	,6.54
Giovanni Fabbian,"Bologna, ",21,",  AM(C)  ",11(16),1054	,2	,0.6	,10.4	,79.4	,-	,0.1	,-	,6.54
Alexis Sánchez,"Inter, ",35,",  M(CLR),FW  ",6(17),752	,5	,0.8	,14.6	,80.9	,0.2	,1.2	,0.1	,6.54
Giulio Maggiore,"Salernitana, ",26,",  M(C)  ",20(7),1808	,2	,0.4	,29.1	,78.5	,-	,1.1	,-	,6.53
