Name,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS,Crosses,LongB,ThrB,Rating
Nabil Alioui,"Le Havre, ",25,",  AM(C)  ",12(6),1018	,1	,1.3	,16.7	,69	,1.1	,0.6	,0.1	,6.70
Rémy Cabella,"Lille, ",34,",  M(CLR),FW  ",14(16),1468	,2	,1.1	,27.6	,84.5	,0.4	,0.6	,-	,6.70
Yvon Mvogo,"Lorient, ",30,",  GK  ",34,3060	,-	,-	,29	,72	,-	,5.8	,-	,6.69
Krépin Diatta,"Monaco, ",25,",  D(R),M(CLR),FW  ",12(14),1196	,2	,0.9	,23.7	,78.6	,0.4	,1	,-	,6.69
Marshall Munetsi,"Reims, ",28,",  D(C),M(C)  ",25(2),2180	,3	,0.4	,19.3	,72	,0.1	,0.6	,-	,6.69
Arnaud Kalimuendo,"Rennes, ",22,",  FW  ",25(5),2154	,1	,0.9	,16.2	,82.7	,0.1	,0.3	,0.1	,6.69
Jordan Veretout,"Marseille, ",31,",  M(C)  ",24(5),2184	,2	,1.7	,41.8	,84	,0.9	,2.3	,0.1	,6.69
Logan Costa,"Toulouse, ",23,",  D(C)  ",29(2),2650	,1	,0.2	,56.5	,84.1	,0.1	,3.6	,-	,6.69
Étienne Youté,"Le Havre, ",22,",  D(C)  ",22,1943	,-	,0.1	,43.6	,86.6	,-	,2	,-	,6.69
Warmed Omari,"Rennes, ",24,",  D(C)  ",23(2),2072	,-	,0.2	,51.5	,90.1	,-	,3	,0.1	,6.68
Nicolas Pallois,"Nantes, ",36,",  D(C)  ",17(6),1586	,1	,0.1	,32.3	,81.4	,0.1	,2.5	,-	,6.68
Steve Mandanda,"Rennes, ",39,",  GK  ",34,3060	,-	,-	,31.2	,69.6	,-	,5.2	,-	,6.68
Alexsandro Ribeiro,"Lille, ",24,",  D(C)  ",24(5),2217	,-	,0.2	,61.9	,89.7	,-	,2.7	,-	,6.68
André Ayew,"Le Havre, ",34,",  M(CLR),FW  ",12(7),1105	,-	,0.4	,13.6	,75.6	,0.1	,0.2	,-	,6.68
Montassar Talbi,"Lorient, ",26,",  D(C)  ",25,2205	,-	,0.3	,47	,85.5	,-	,2.2	,-	,6.68
Stijn Spierings,"Toulouse, ",28,",  M(C)  ",16(6),1514	,1	,0.6	,48.5	,87.8	,-	,3.2	,0.1	,6.67
Niklas Schmidt,"Toulouse, ",26,",  M(C),FW  ",15(7),1273	,1	,1.3	,35.3	,84.1	,1	,2.9	,0.1	,6.67
Nicolás Tagliafico,"Lyon, ",31,",  D(CL),M(L)  ",25,2129	,1	,0.7	,39.7	,86.9	,0.3	,1.3	,0.1	,6.67
Mohamed Camara,"Monaco, ",24,",  DMC  ",14(6),1044	,2	,0.7	,38.3	,92.2	,0.1	,1.9	,0.1	,6.67
Baptiste Santamaría,"Rennes, ",29,",  DMC  ",22(8),1931	,1	,0.4	,40.2	,87.6	,-	,2.9	,-	,6.66
Becir Omeragic,"Montpellier, ",22,",  D(C),DMC  ",26(2),2313	,-	,0.4	,37.6	,85.4	,-	,2	,-	,6.66
Pau López,"Marseille, ",29,",  GK  ",33,2939	,-	,0.1	,32.7	,75.6	,-	,4.3	,-	,6.66
Darlin Yongwa,"Lorient, ",23,",  M(L)  ",11(11),1153	,1	,0.5	,19.8	,72	,0.9	,0.4	,-	,6.66
Corentin Tolisso,"Lyon, ",29,",  D(R),M(CR)  ",21(4),1752	,1	,1	,48	,85.8	,0.6	,3	,0.1	,6.65
Terem Moffi,"Nice, ",25,",  AM(R),FW  ",23(7),1961	,2	,0.7	,12.4	,73.1	,-	,0.1	,-	,6.65
Lucas Perrin,"Strasbourg, ",25,",  D(C)  ",30(1),2723	,1	,0.2	,58.6	,87.8	,0.1	,3.8	,-	,6.65
Christopher Jullien,"Montpellier, ",31,",  D(C)  ",13(7),1222	,-	,0.1	,25.5	,86.2	,0.1	,1.5	,-	,6.65
Angelo Fulgini,"Lens, ",27,",  AM(CLR),FW  ",16(13),1382	,2	,1.3	,22.5	,81	,1.1	,1	,0.1	,6.64
Youssouf Ndayishimiye,"Nice, ",25,",  D(C),DMC  ",20(3),1715	,-	,0.5	,58.8	,90	,-	,1.4	,-	,6.64
Kamory Doumbia,"Brest, ",21,",  AM(C)  ",7(18),874	,5	,0.5	,19	,87.8	,-	,0.7	,-	,6.63
