Player_URL,Name,Team_URL,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_x,Blocks,OwnG,KeyP,Drb_y,Fouled,Off,Disp,UnsTch,AvgP,Crosses,LongB,ThrB,Value
https://www.whoscored.com/Players/90324/Show/Oliver-Norwood,Oliver Norwood,https://www.whoscored.com/Teams/163/Show/England-Sheff-Utd,"Sheff Utd, ",33,",  M(C)  ",16(11),1433,1	,-	,8	,-	,0.6	,72.2,0.5	,-	,6.31,1.5	,0.8	,0.6	,-	,1.3	,1	,0.3	,-	,0.6	,-	,0.3	,-	,0.1	,0.3	,31.7,0.6	,2.5	,-	,€1.00m
https://www.whoscored.com/Players/104899/Show/John-Anthony-Brooks,John Anthony Brooks,https://www.whoscored.com/Teams/1211/Show/Germany-Hoffenheim,"Hoffenheim, ",31,",  D(C)  ",18(3),1541,2	,-	,6	,1	,0.5	,83.0,2.2	,-	,6.67,1.3	,1.3	,0.8	,0.3	,5	,0.7	,0.8	,-	,0.1	,0.1	,0.6	,-	,0.2	,0.1	,42.3,0.1	,3.4	,-	,€2.00m
https://www.whoscored.com/Players/376090/Show/Noah-Okafor,Noah Okafor,https://www.whoscored.com/Teams/80/Show/Italy-AC-Milan,"AC Milan, ",24,",  AM(L),FW  ",6(22),872,6	,2	,1	,-	,0.8	,69.9,0.3	,-	,6.41,0.2	,-	,0.4	,-	,0.4	,0.3	,-	,-	,0.3	,0.5	,0.3	,0.1	,0.5	,0.9	,5.9,0.1	,0.1	,-	,€20.00m  
https://www.whoscored.com/Players/344166/Show/Daichi-Kamada,Daichi Kamada,https://www.whoscored.com/Teams/77/Show/Italy-Lazio,"Lazio, ",27,",  AM(CLR),FW  ",17(12),1546,2	,2	,3	,-	,1	,89.0,0.1	,1	,6.62,1.8	,0.6	,1.3	,-	,0.2	,0.8	,0.2	,-	,0.8	,0.5	,0.4	,0.1	,0.5	,0.9	,31.2,-	,0.9	,0.1	,€18.00m  
https://www.whoscored.com/Players/422959/Show/Isi-Palaz%C3%B3n,Isi Palazón,https://www.whoscored.com/Teams/64/Show/Spain-Rayo-Vallecano,"Rayo Vallecano, ",29,",  AM(CR)  ",34(3),2810,4	,1	,8	,-	,1.9	,74.9,1.1	,1	,6.68,1.2	,0.4	,0.9	,-	,1	,1	,0.1	,-	,1	,0.9	,2.1	,0.3	,1.8	,2.5	,28.5,0.8	,1.1	,0.1	,€8.00m  
https://www.whoscored.com/Players/367583/Show/Aihen-Mu%C3%B1oz,Aihen Muñoz,https://www.whoscored.com/Teams/68/Show/Spain-Real-Sociedad,"Real Sociedad, ",26,",  D(L)  ",11(10),1120,-	,2	,2	,-	,0.3	,77.3,1.1	,-	,6.63,1.7	,0.4	,0.8	,0.1	,1.5	,0.5	,0.4	,-	,0.6	,0.5	,0.4	,-	,0.4	,0.7	,24.1,0.5	,1	,-	,€8.00m  
https://www.whoscored.com/Players/320834/Show/Achraf-Hakimi,Achraf Hakimi,https://www.whoscored.com/Teams/304/Show/France-PSG,"PSG, ",25,",  D(LR),M(R)  ",20(5),1931,4	,5	,3	,-	,1.7	,88.7,0.4	,1	,7.0,1.2	,0.5	,0.9	,0.2	,1	,0.7	,0.2	,-	,1.7	,1.1	,1	,0.1	,1.3	,1.3	,69.5,0.7	,1.6	,-	,€60.00m  
https://www.whoscored.com/Players/322596/Show/Jarrod-Bowen,Jarrod Bowen,https://www.whoscored.com/Teams/29/Show/England-West-Ham,"West Ham, ",27,",  AM(CLR),FW  ",34,3021,16	,6	,2	,-	,2.5	,75.1,1	,2	,7.1,1.2	,0.6	,0.8	,-	,0.4	,0.6	,0.1	,-	,0.9	,1	,1.2	,0.6	,1.7	,2.3	,18.3,0.4	,0.4	,0.1	,€50.00m  
https://www.whoscored.com/Players/302588/Show/Bernardo,Bernardo,https://www.whoscored.com/Teams/109/Show/Germany-Bochum,"Bochum, ",29,",  D(CLR),M(L)  ",33,2926,1	,-	,9	,-	,0.9	,71.1,4.5	,2	,6.9,3	,1.7	,1.6	,0.2	,3.2	,0.7	,0.9	,-	,0.4	,0.4	,0.8	,0.1	,0.5	,1	,41.0,0.3	,2.6	,-	,€5.50m  
https://www.whoscored.com/Players/95872/Show/Gianluca-Lapadula,Gianluca Lapadula,https://www.whoscored.com/Teams/78/Show/Italy-Cagliari,"Cagliari, ",34,",  FW  ",14(9),1207,3	,1	,3	,-	,1.5	,72.4,0.9	,2	,6.38,-	,0.1	,1	,-	,0.2	,0.4	,-	,-	,0.8	,0.2	,0.8	,0.7	,0.3	,0.9	,7.1,0.1	,0.1	,-	,€1.50m  
https://www.whoscored.com/Players/409338/Show/Kiliann-Sildillia,Kiliann Sildillia,https://www.whoscored.com/Teams/50/Show/Germany-Freiburg,"Freiburg, ",22,",  D(CR),M(R)  ",20(7),1805,-	,1	,2	,1	,0.3	,76.5,1.2	,-	,6.5,1.6	,0.8	,1.1	,0.1	,2.3	,0.6	,0.6	,-	,0.4	,0.6	,0.4	,0.1	,0.4	,0.9	,35.5,0.4	,1.7	,-	,€15.00m  
https://www.whoscored.com/Players/333294/Show/Michael-Folorunsho,Michael Folorunsho,https://www.whoscored.com/Teams/76/Show/Italy-Verona,"Verona, ",26,",  M(C)  ",33(1),2794,5	,1	,5	,-	,1.4	,64.8,2.3	,-	,6.63,1.5	,0.5	,1.5	,-	,1.2	,1	,0.4	,-	,0.5	,0.6	,2.2	,0.3	,1.1	,1.8	,21.1,0.3	,1	,-	,€8.50m  
https://www.whoscored.com/Players/367182/Show/Tom-Krau%C3%9F,Tom Krauß,https://www.whoscored.com/Teams/219/Show/Germany-Mainz,"Mainz, ",23,",  DMC  ",13(16),1342,1	,2	,5	,-	,0.7	,75.4,0.5	,-	,6.38,2	,0.6	,1.1	,-	,0.9	,1.3	,0.1	,-	,0.2	,0.1	,0.6	,-	,0.4	,0.9	,22.0,0.1	,0.8	,-	,€4.00m  
https://www.whoscored.com/Players/408735/Show/Juan-Iglesias,Juan Iglesias,https://www.whoscored.com/Teams/819/Show/Spain-Getafe,"Getafe, ",26,",  D(LR),M(R)  ",17(7),1420,-	,2	,4	,-	,0.6	,65.2,0.5	,1	,6.57,1.7	,0.7	,0.7	,0.4	,1.8	,0.5	,0.3	,-	,0.5	,0.3	,0.4	,-	,0.3	,0.4	,19.0,0.5	,1.5	,-	,€2.50m  
