Name,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Giulio Maggiore,"Salernitana, ",26,",  M(C)  ",20(7),1808	,4	,2	,0.9	,0.4	,0.2	,1.4	,-	,0.3	,0.7	,6.53
Lucas Beltrán,"Fiorentina, ",23,",  AM(C),FW  ",21(11),1696	,6	,2	,1	,0.8	,0.4	,0.9	,0.1	,1	,1.8	,6.53
Armando Izzo,"Monza, ",32,",  D(C)  ",20(3),1655	,-	,-	,0.2	,0.3	,-	,1.1	,-	,0.1	,0.4	,6.53
Jonathan Ikoné,"Fiorentina, ",26,",  AM(CLR),FW  ",18(10),1687	,3	,1	,1.4	,0.5	,0.8	,0.5	,0.2	,0.8	,1	,6.52
Kacper Urbanski,"Bologna, ",19,",  AM(L)  ",9(13),923	,-	,1	,0.8	,0.7	,0.9	,0.5	,0.1	,0.6	,1	,6.52
Adrien Tameze,"Torino, ",30,",  D(C),M(C)  ",25(4),2155	,-	,2	,0.3	,0.7	,0.4	,0.5	,-	,0.6	,0.7	,6.52
Manuel Lazzari,"Lazio, ",30,",  D(R),M(R)  ",19(5),1676	,-	,2	,0.3	,0.4	,0.5	,0.8	,-	,0.2	,0.8	,6.52
Ylber Ramadani,"Lecce, ",28,",  DMC  ",34,2976	,1	,-	,0.9	,0.5	,0.7	,1.1	,-	,0.7	,1	,6.52
Kristjan Asllani,"Inter, ",22,",  DMC  ",6(17),773	,1	,2	,0.7	,0.3	,0.1	,0.8	,-	,0.1	,0.3	,6.51
Caleb Okoli,"Frosinone, ",22,",  D(C)  ",32(2),2915	,-	,1	,0.4	,0.1	,0.1	,0.8	,-	,0.1	,0.6	,6.51
Edoardo Bove,"Roma, ",22,",  M(C)  ",18(13),1778	,-	,2	,0.6	,0.5	,0.3	,1.2	,-	,0.9	,0.9	,6.51
Christian Kouamé,"Fiorentina, ",26,",  AM(LR),FW  ",11(12),1084	,2	,1	,1	,0.5	,0.4	,1.1	,-	,1.3	,2.1	,6.50
Gabriel Strefezza,"Lecce, ",27,",  M(LR)  ",13(6),1118	,1	,-	,1.5	,1.1	,0.8	,1.9	,0.2	,1.3	,1.3	,6.50
Alex Meret,"Napoli, ",27,",  GK  ",31,2774	,-	,-	,-	,-	,-	,0.1	,-	,-	,-	,6.50
Koni De Winter,"Genoa, ",22,",  D(C)  ",26(3),2382	,-	,1	,0.4	,0.2	,0.2	,0.4	,-	,0.3	,0.9	,6.50
Mattéo Guendouzi,"Lazio, ",25,",  M(C)  ",27(6),2371	,2	,3	,0.8	,0.7	,0.2	,1	,-	,0.4	,0.8	,6.50
Samuel Chukwueze,"AC Milan, ",25,",  AM(CR)  ",12(12),1015	,1	,3	,1.2	,0.8	,0.9	,0.5	,0.3	,0.6	,1.2	,6.50
Razvan Marin,"Empoli, ",28,",  M(C)  ",20(10),1820	,-	,3	,1.2	,1.1	,0.5	,0.6	,-	,0.6	,0.8	,6.50
Bartosz Bereszynski,"Empoli, ",31,",  D(CLR),M(R)  ",22(2),1767	,-	,1	,0.1	,0.3	,0.5	,0.6	,-	,0.3	,0.8	,6.50
Grigoris Kastanos,"Salernitana, ",26,",  M(CR)  ",18(8),1488	,3	,3	,1.2	,1.1	,0.5	,1.7	,0.1	,1.1	,1.2	,6.50
Liberato Cacace,"Empoli, ",23,",  D(L),M(L)  ",18(13),1909	,-	,1	,0.4	,0.7	,0.7	,0.6	,-	,0.6	,0.7	,6.49
Antonio Sanabria,"Torino, ",28,",  FW  ",23(12),2134	,5	,-	,1.5	,0.4	,0.4	,0.9	,0.1	,0.7	,1.6	,6.49
Adam Marusic,"Lazio, ",31,",  D(CLR),M(LR)  ",37,3108	,1	,-	,0.2	,0.3	,0.4	,0.3	,0.1	,0.1	,0.6	,6.48
Kenan Yildiz,"Juventus, ",19,",  AM(L),FW  ",9(18),946	,2	,-	,0.7	,0.7	,0.9	,0.8	,-	,0.7	,1.3	,6.48
Davide Frattesi,"Inter, ",24,",  DMC  ",6(26),935	,6	,3	,1	,0.3	,0.2	,0.5	,-	,0.5	,0.5	,6.48
Rui Patrício,"Roma, ",36,",  GK  ",23,2070	,-	,-	,-	,-	,-	,-	,-	,-	,-	,6.48
Fabio Miretti,"Juventus, ",20,",  AM(C)  ",16(9),1110	,1	,1	,0.8	,1	,0.8	,1.2	,-	,1	,1.4	,6.48
Patrick Dorgu,"Lecce, ",19,",  D(L),M(L)  ",17(15),1567	,2	,-	,0.6	,0.6	,0.5	,1.4	,0.1	,0.6	,1.3	,6.48
Martin Erlic,"Sassuolo, ",26,",  D(C)  ",31(1),2627	,1	,-	,0.3	,-	,0.1	,0.8	,-	,-	,0.3	,6.47
Daniel Boloca,"Sassuolo, ",25,",  DMC  ",23(7),2024	,1	,-	,0.4	,0.5	,0.9	,0.2	,-	,0.6	,0.7	,6.47
Samuel Iling-Junior,"Juventus, ",20,",  M(L)  ",4(20),801	,1	,2	,0.4	,0.8	,0.3	,0.2	,-	,0.5	,0.7	,6.47
Zito Luvumbo,"Cagliari, ",22,",  AM(L),FW  ",19(11),1947	,4	,5	,1.7	,0.9	,1	,2.2	,0.5	,1.6	,2.3	,6.47
Rasmus Kristensen,"Roma, ",26,",  D(CR),M(R)  ",19(10),1745	,1	,1	,0.3	,0.4	,0.2	,0.3	,-	,0.2	,0.5	,6.47
Leonardo Pavoletti,"Cagliari, ",35,",  FW  ",5(14),620	,4	,1	,1.3	,0.4	,-	,0.4	,0.1	,0.3	,1.3	,6.47
Marko Arnautovic,"Inter, ",35,",  AM(CLR),FW  ",5(22),785	,5	,3	,0.6	,0.6	,-	,0.6	,0.3	,0.4	,0.8	,6.46
Ilario Monterisi,"Frosinone, ",22,",  D(C)  ",16(8),1469	,2	,2	,0.2	,0.2	,0.2	,0.7	,-	,0.1	,0.2	,6.46
Mário Rui,"Napoli, ",33,",  D(L),M(L)  ",14(7),1208	,-	,2	,0.2	,1.2	,0.1	,1.3	,-	,0.4	,0.5	,6.46
Jackson Tchatchoua,"Verona, ",22,",  D(R),M(LR)  ",19(7),1727	,-	,2	,-	,0.6	,0.2	,0.3	,0.1	,0.2	,0.3	,6.46
Karol Linetty,"Torino, ",29,",  M(CLR)  ",19(9),1860	,-	,-	,0.6	,0.5	,0.3	,0.6	,0.1	,0.4	,0.8	,6.46
João Ferreira,"Udinese, ",23,",  D(CR),M(R)  ",18(17),1815	,-	,1	,0.1	,0.4	,0.5	,0.3	,0.1	,0.2	,0.6	,6.46
Ciro Immobile,"Lazio, ",34,",  FW  ",21(10),1662	,7	,1	,1.6	,0.5	,0.3	,1	,0.5	,0.5	,1.7	,6.45
Walid Cheddira,"Frosinone, ",26,",  FW  ",24(12),2132	,7	,1	,1.7	,0.4	,0.3	,1.2	,0.4	,1	,2	,6.45
Matteo Cancellieri,"Empoli, ",22,",  AM(CLR),FW  ",18(18),1785	,4	,2	,1.1	,0.5	,1	,1.4	,0.4	,1	,1.6	,6.45
Morten Thorsby,"Genoa, ",28,",  M(CLR)  ",9(15),1145	,2	,2	,0.5	,0.4	,0.2	,0.3	,0.3	,0.7	,1.1	,6.44
Stefano Sabelli,"Genoa, ",31,",  D(R),M(R)  ",30(2),2452	,-	,1	,0.3	,0.6	,0.3	,1.1	,0.1	,0.3	,1.2	,6.44
Giorgos Kyriakopoulos,"Monza, ",28,",  D(L),M(L)  ",20(8),1718	,-	,3	,0.9	,0.8	,0.6	,0.5	,0.1	,0.4	,0.6	,6.44
