Player_URL,Name,Team_URL,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/346210/Show/Robin-Hack,Robin Hack,https://www.whoscored.com/Teams/134/Show/Germany-Borussia-M-Gladbach,"Borussia M.Gladbach, ",25,",  AM(CLR),FW  ",14(15),1348	,10	,2	,2	,-	,1.5	,77.6	,0.6	,4	,6.78
https://www.whoscored.com/Players/81842/Show/Frederik-R%C3%B8nnow,Frederik Rønnow,https://www.whoscored.com/Teams/796/Show/Germany-Union-Berlin,"Union Berlin, ",31,",  GK  ",33,2970	,-	,-	,2	,-	,0.1	,68.2	,0.4	,4	,6.78
https://www.whoscored.com/Players/90548/Show/Pavel-Kader%C3%A1bek,Pavel Kaderábek,https://www.whoscored.com/Teams/1211/Show/Germany-Hoffenheim,"Hoffenheim, ",32,",  D(R),M(LR)  ",28(1),2421	,3	,4	,7	,-	,0.7	,71.2	,2.1	,-	,6.78
https://www.whoscored.com/Players/64846/Show/Luk%C3%A1s-Hr%C3%A1decky,Lukás Hrádecky,https://www.whoscored.com/Teams/36/Show/Germany-Leverkusen,"Leverkusen, ",34,",  GK  ",33,2970	,-	,-	,2	,-	,-	,75.8	,0.2	,-	,6.78
https://www.whoscored.com/Players/389409/Show/Amine-Adli,Amine Adli,https://www.whoscored.com/Teams/36/Show/Germany-Leverkusen,"Leverkusen, ",24,",  AM(CLR),FW  ",8(15),892	,4	,4	,5	,-	,1.2	,82.9	,0.9	,1	,6.78
https://www.whoscored.com/Players/320436/Show/Julian-Ryerson,Julian Ryerson,https://www.whoscored.com/Teams/44/Show/Germany-Borussia-Dortmund,"Borussia Dortmund, ",26,",  D(LR),M(CLR)  ",20(1),1772	,4	,1	,3	,-	,0.9	,88.4	,0.4	,2	,6.78
https://www.whoscored.com/Players/227655/Show/Lucas-H%C3%B6ler,Lucas Höler,https://www.whoscored.com/Teams/50/Show/Germany-Freiburg,"Freiburg, ",29,",  AM(CLR),FW  ",26(7),2311	,7	,2	,7	,-	,1	,67.8	,2.5	,2	,6.78
https://www.whoscored.com/Players/369446/Show/Edmond-Tapsoba,Edmond Tapsoba,https://www.whoscored.com/Teams/36/Show/Germany-Leverkusen,"Leverkusen, ",25,",  D(C)  ",23(5),2085	,-	,1	,4	,-	,0.4	,91.4	,1.4	,-	,6.78
https://www.whoscored.com/Players/372927/Show/Junior-Dina-Ebimbe,Junior Dina Ebimbe,https://www.whoscored.com/Teams/45/Show/Germany-Eintracht-Frankfurt,"Eintracht Frankfurt, ",23,",  M(CLR)  ",25(6),1972	,5	,3	,5	,-	,1.7	,76.2	,1.4	,2	,6.77
https://www.whoscored.com/Players/497562/Show/Max-Finkgr%C3%A4fe,Max Finkgräfe,https://www.whoscored.com/Teams/282/Show/Germany-FC-Koln,"FC Koln, ",20,",  D(L)  ",18(6),1757	,1	,-	,4	,-	,0.5	,72.5	,1	,2	,6.77
