Name,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Rodrigo Bentancur,"Tottenham, ",27,",  M(C)  ",13(10),1010	,1	,1	,0.8	,0.3	,0.5	,0.7	,-	,0.8	,0.7	,6.39
James McAtee,"Sheff Utd, ",21,",  AM(CR)  ",20(10),1826	,3	,3	,0.9	,0.9	,1.1	,1	,-	,1.3	,1.6	,6.38
Matt Doherty,"Wolves, ",32,",  D(LR),M(LR)  ",9(21),1144	,1	,-	,0.3	,0.4	,0.2	,0.4	,0.2	,0.2	,0.6	,6.38
Diego Carlos,"Aston Villa, ",31,",  D(C)  ",20(7),1812	,-	,-	,0.4	,0.1	,0.1	,0.1	,-	,0.1	,0.3	,6.36
Christian Eriksen,"Man Utd, ",32,",  M(CLR),FW  ",12(10),1141	,1	,2	,0.6	,1.2	,0.1	,0.1	,-	,0.6	,0.4	,6.36
Moussa Niakhaté,"Nottingham Forest, ",28,",  D(CL)  ",15(6),1459	,1	,-	,0.2	,0.1	,0.1	,0.2	,-	,0.1	,0.2	,6.36
Jordan Clark,"Luton, ",30,",  M(CLR)  ",14(9),1307	,1	,1	,0.7	,0.5	,0.5	,1.1	,0.2	,0.9	,1.1	,6.36
Jack Robinson,"Sheff Utd, ",30,",  D(CL),M(L)  ",31(3),2886	,1	,1	,0.4	,0.4	,0.1	,0.5	,-	,0.1	,0.5	,6.36
Sasa Lukic,"Fulham, ",27,",  M(C)  ",13(11),1120	,1	,-	,0.5	,0.5	,0.2	,0.4	,-	,0.4	,0.5	,6.36
Tahith Chong,"Luton, ",24,",  AM(CLR),FW  ",20(13),1987	,4	,-	,0.9	,0.3	,0.8	,1.9	,0.1	,1.2	,1.8	,6.34
Auston Trusty,"Sheff Utd, ",25,",  D(CL)  ",28(4),2573	,-	,-	,0.3	,0.3	,0.2	,0.4	,0.1	,0.1	,0.5	,6.34
Harrison Reed,"Fulham, ",29,",  D(R),M(CR)  ",15(12),1325	,-	,2	,0.3	,0.5	,0.2	,0.4	,-	,0.5	,0.7	,6.34
Andros Townsend,"Luton, ",32,",  AM(CLR),FW  ",14(13),1210	,1	,3	,0.7	,0.7	,0.6	,0.4	,0.1	,1	,1.3	,6.34
Carlos Baleba,"Brighton, ",20,",  DMC  ",15(12),1324	,-	,-	,0.8	,0.3	,0.4	,1	,-	,0.6	,0.6	,6.33
Jhon Durán,"Aston Villa, ",20,",  FW  ",3(20),463	,5	,-	,0.9	,0.2	,0.1	,0.3	,0.2	,0.6	,0.7	,6.32
Pierre-Emile Højbjerg,"Tottenham, ",28,",  M(C)  ",8(28),1294	,-	,-	,0.5	,0.3	,0.3	,0.5	,-	,0.3	,0.6	,6.32
Jean-Ricner Bellegarde,"Wolves, ",26,",  M(CLR)  ",10(12),953	,2	,1	,0.7	,0.5	,0.8	,1.1	,0.1	,0.9	,1.1	,6.32
Beto,"Everton, ",26,",  FW  ",9(21),939	,3	,-	,1.4	,0.4	,0.5	,0.6	,0.3	,0.7	,1.6	,6.32
Tariq Lamptey,"Brighton, ",23,",  D(LR),M(R)  ",10(9),916	,-	,3	,0.3	,0.5	,0.3	,0.9	,0.2	,0.1	,1.2	,6.32
Oliver Norwood,"Sheff Utd, ",33,",  M(C)  ",16(11),1433	,1	,-	,0.6	,0.6	,-	,0.3	,-	,0.1	,0.3	,6.31
Vitinho,"Burnley, ",24,",  D(LR),M(LR)  ",26(6),2320	,-	,2	,0.8	,0.3	,0.8	,0.9	,0.2	,0.8	,1.1	,6.31
Tommy Doyle,"Wolves, ",22,",  AM(C)  ",11(15),1216	,-	,-	,0.5	,0.3	,-	,0.2	,-	,0.3	,0.3	,6.30
Jay Rodríguez,"Burnley, ",34,",  AM(CLR),FW  ",7(14),815	,2	,1	,1	,0.2	,0.3	,0.3	,0.3	,0.2	,1	,6.29
Anel Ahmedhodzic,"Sheff Utd, ",25,",  D(C)  ",29(2),2650	,2	,-	,0.6	,0.2	,0.4	,0.4	,0.1	,0.4	,0.5	,6.28
Yehor Yarmoliuk,"Brentford, ",20,",  M(C)  ",6(21),676	,-	,-	,0.4	,0.1	,0.6	,0.2	,-	,0.4	,0.6	,6.27
Cauley Woodrow,"Luton, ",29,",  AM(C),FW  ",2(22),411	,1	,1	,0.7	,0.4	,0.1	,0.2	,0.1	,0.3	,0.4	,6.26
Ansu Fati,"Brighton, ",21,",  AM(L),FW  ",3(16),514	,2	,-	,1.4	,0.3	,0.3	,0.7	,0.1	,0.5	,0.8	,6.26
Max Aarons,"Bournemouth, ",24,",  D(R)  ",13(7),1233	,-	,1	,0.1	,0.4	,0.7	,1.3	,0.1	,0.4	,0.7	,6.25
Sofyan Amrabat,"Man Utd, ",27,",  D(L),DMC  ",10(11),933	,-	,-	,0.1	,0.3	,0.3	,0.5	,-	,0.5	,0.4	,6.24
Saman Ghoddos,"Brentford, ",30,",  M(CLR),FW  ",7(12),730	,1	,-	,0.5	,0.5	,0.2	,0.5	,0.1	,0.2	,0.5	,6.24
Hugo Bueno,"Wolves, ",21,",  D(L),M(L)  ",7(15),731	,-	,-	,0.2	,0.3	,0.4	,0.3	,-	,0.6	,0.3	,6.24
Nicolò Zaniolo,"Aston Villa, ",25,",  AM(CLR),FW  ",9(16),831	,2	,-	,1.1	,0.4	,0.5	,0.8	,-	,1.4	,1.2	,6.24
Divock Origi,"Nottingham Forest, ",29,",  AM(LR),FW  ",6(14),601	,-	,1	,0.7	,0.4	,0.5	,0.4	,0.3	,0.5	,0.8	,6.21
Oliver Skipp,"Tottenham, ",23,",  DMC  ",5(16),695	,-	,-	,0.2	,0.3	,0.1	,0.6	,-	,0.3	,0.4	,6.20
Boubacar Traoré,"Wolves, ",22,",  M(C)  ",7(17),806	,-	,-	,0.5	,0.3	,0.4	,0.2	,-	,0.7	,0.5	,6.20
Danny Ings,"West Ham, ",31,",  AM(C),FW  ",3(17),392	,1	,-	,0.6	,0.3	,0.3	,0.3	,0.1	,0.2	,0.5	,6.19
Andre Brooks,"Sheff Utd, ",20,",  M(C)  ",12(8),944	,-	,-	,0.5	,0.2	,0.6	,0.5	,-	,1	,1.1	,6.18
Adam Lallana,"Brighton, ",36,",  M(CLR)  ",13(12),854	,-	,1	,0.4	,0.6	,0.1	,0.4	,0.1	,0.7	,0.6	,6.17
Ben Osborn,"Sheff Utd, ",29,",  D(L),M(CLR)  ",14(10),1363	,-	,2	,0.2	,0.5	,0.3	,0.4	,-	,0.4	,0.6	,6.17
Naouirou Ahamada,"Crystal Palace, ",22,",  M(C)  ",0(20),334	,-	,-	,0.5	,0.1	,0.4	,0.3	,0.1	,0.6	,0.4	,6.08
Pelly Ruddock Mpanzu,"Luton, ",30,",  M(C)  ",11(16),1094	,-	,-	,0.4	,0.2	,0.3	,0.5	,-	,0.6	,0.4	,6.08
William Osula,"Sheff Utd, ",20,",  FW  ",9(12),785	,-	,-	,1	,-	,0.1	,0.6	,0.3	,0.7	,1.5	,6.00
