Name,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS,Crosses,LongB,ThrB,Rating
Jeffrey Gouweleeuw,"Augsburg, ",33,",  D(C)  ",29(1),2595	,-	,0.5	,48.6	,78.3	,0.1	,4.5	,-	,6.67
Tim Skarke,"Darmstadt, ",27,",  AM(CLR),FW  ",29(1),2418	,-	,1	,24.2	,79.2	,0.8	,1	,-	,6.65
Lovro Majer,"Wolfsburg, ",26,",  AM(CR)  ",25(7),2121	,5	,1.2	,29.5	,78.1	,0.6	,0.7	,-	,6.65
Ihlas Bebou,"Hoffenheim, ",30,",  M(CLR),FW  ",16(16),1631	,5	,0.5	,13.6	,74.5	,0.2	,0.4	,-	,6.65
Alexander Nübel,"Stuttgart, ",27,",  GK  ",30,2700	,-	,-	,36.1	,80.1	,-	,5.9	,-	,6.64
Florian Kainz,"FC Koln, ",31,",  M(CLR)  ",29(4),2212	,4	,1.6	,28	,75.6	,1.5	,1.5	,-	,6.64
Jordan Siebatcheu,"Borussia M.Gladbach, ",28,",  FW  ",18(7),1441	,3	,0.8	,11.2	,78.6	,-	,0.3	,-	,6.64
Philipp Hofmann,"Bochum, ",31,",  FW  ",18(11),1578	,2	,0.7	,14.2	,64.7	,-	,0.2	,-	,6.64
Arne Maier,"Augsburg, ",25,",  M(CR)  ",10(12),1000	,4	,1.3	,22.6	,83.5	,1.2	,1.5	,-	,6.63
Mattias Svanberg,"Wolfsburg, ",25,",  M(CLR)  ",20(5),1727	,3	,1	,30	,75.2	,0.4	,0.9	,-	,6.63
Fabian Nürnberger,"Darmstadt, ",24,",  D(L),M(CL)  ",17(4),1519	,1	,1.4	,34.5	,83.3	,0.8	,1.4	,-	,6.63
Diogo Leite,"Union Berlin, ",25,",  D(C)  ",31(1),2708	,-	,0.2	,48.5	,80.5	,-	,2.8	,-	,6.63
Pascal Stenzel,"Stuttgart, ",28,",  D(CR),M(R)  ",14(9),1092	,5	,0.7	,30.1	,88.2	,0.5	,3	,0.1	,6.62
Dayot Upamecano,"Bayern, ",25,",  D(C)  ",19(6),1765	,-	,0.2	,71.8	,92.7	,-	,2.5	,-	,6.62
Anthony Losilla,"Bochum, ",38,",  D(C),DMC  ",31,2588	,2	,0.6	,28.6	,72.7	,0.1	,0.8	,-	,6.62
Nathan Tella,"Leverkusen, ",25,",  M(CLR),FW  ",8(16),811	,2	,0.6	,12.4	,83.2	,0.3	,0.4	,-	,6.62
Yussuf Poulsen,"RBL, ",30,",  AM(CR),FW  ",12(16),1213	,2	,0.5	,10	,72.1	,0.1	,0.1	,-	,6.62
Noah Atubolu,"Freiburg, ",22,",  GK  ",34,3060	,-	,-	,36.1	,67	,-	,7.7	,-	,6.62
Maximilian Eggestein,"Freiburg, ",27,",  M(CR)  ",33,2919	,1	,0.8	,39.7	,82.1	,-	,0.9	,0.1	,6.61
Niklas Süle,"Borussia Dortmund, ",28,",  D(CR)  ",14(9),1510	,-	,0.2	,64.8	,93.2	,-	,3.7	,-	,6.61
Luca Netz,"Borussia M.Gladbach, ",21,",  D(L),M(L)  ",25(5),2233	,4	,1.3	,32.3	,80.3	,0.6	,1.1	,0.1	,6.61
Marvin Mehlem,"Darmstadt, ",26,",  M(CL)  ",19(1),1490	,2	,1.1	,27.7	,78.2	,0.3	,1	,0.1	,6.61
Lukas Kübler,"Freiburg, ",31,",  D(CLR),M(R)  ",22(4),1853	,-	,0.2	,32.1	,79.5	,0.1	,1.7	,-	,6.61
Florian Neuhaus,"Borussia M.Gladbach, ",27,",  M(C)  ",15(10),1226	,2	,0.8	,22.1	,83.5	,0.3	,1.4	,0.1	,6.61
Manuel Riemann,"Bochum, ",35,",  GK  ",33,2970	,-	,0.1	,48.9	,58.3	,0.1	,15.4	,-	,6.61
Robin Zentner,"Mainz, ",29,",  GK  ",30,2700	,-	,-	,29.8	,58.5	,-	,7.2	,-	,6.60
Luca Pfeiffer,"Darmstadt, ",27,",  AM(C),FW  ",20(4),1628	,3	,0.8	,16.8	,71.4	,-	,0.3	,-	,6.60
Roland Sallai,"Freiburg, ",27,",  M(CLR),FW  ",22(5),1852	,-	,1.1	,18.9	,78	,0.6	,0.4	,0.1	,6.60
Finn Dahmen,"Augsburg, ",26,",  GK  ",31,2790	,-	,-	,40.2	,74.9	,-	,6.8	,-	,6.59
Maximilian Wittek,"Bochum, ",28,",  D(L),M(LR)  ",13(8),1070	,1	,1.1	,17.7	,64.7	,0.9	,0.6	,-	,6.59
Mario Götze,"Eintracht Frankfurt, ",32,",  M(CLR),FW  ",23(7),2077	,2	,1.2	,41.9	,81.7	,0.5	,1.4	,0.1	,6.59
Senne Lynen,"Werder Bremen, ",25,",  DMC  ",20(12),1795	,3	,0.5	,28	,82.9	,-	,1.5	,-	,6.59
Felix Nmecha,"Borussia Dortmund, ",23,",  M(C)  ",10(10),1016	,2	,0.7	,22.7	,84.1	,-	,0.9	,-	,6.59
András Schäfer,"Union Berlin, ",25,",  M(C)  ",14(6),1219	,2	,0.9	,26	,76.5	,0.2	,0.6	,-	,6.58
Grischa Prömel,"Hoffenheim, ",29,",  M(C)  ",27(1),2149	,5	,0.8	,34.5	,82.4	,0.1	,1	,0.1	,6.58
