Player_URL,Name,Team_URL,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/437430/Show/Abakar-Sylla,Abakar Sylla,https://www.whoscored.com/Teams/148/Show/France-Strasbourg,"Strasbourg, ",21,",  D(C)  ",19(3),1792	,2	,-	,4	,-	,0.5	,88.2	,1.5	,-	,6.58
https://www.whoscored.com/Players/399014/Show/Mohamed-Ali-Cho,Mohamed-Ali Cho,https://www.whoscored.com/Teams/613/Show/France-Nice,"Nice, ",20,",  AM(R),FW  ",11(6),866	,1	,2	,2	,-	,1.1	,82.5	,0.3	,1	,6.58
https://www.whoscored.com/Players/375342/Show/Moussa-Diarra,Moussa Diarra,https://www.whoscored.com/Teams/246/Show/France-Toulouse,"Toulouse, ",23,",  D(CL)  ",15(7),1395	,1	,2	,5	,-	,0.2	,82.2	,1	,-	,6.58
https://www.whoscored.com/Players/255169/Show/Ainsley-Maitland-Niles,Ainsley Maitland-Niles,https://www.whoscored.com/Teams/228/Show/France-Lyon,"Lyon, ",26,",  D(LR),M(CLR)  ",16(7),1433	,1	,4	,1	,1	,0.8	,84.4	,0.8	,-	,6.57
https://www.whoscored.com/Players/101911/Show/Thomas-Delaine,Thomas Delaine,https://www.whoscored.com/Teams/148/Show/France-Strasbourg,"Strasbourg, ",32,",  D(L),M(LR)  ",24(3),2052	,1	,1	,5	,-	,0.4	,77.1	,0.7	,-	,6.57
https://www.whoscored.com/Players/415171/Show/Habib-Ke%C3%AFta,Habib Keïta,https://www.whoscored.com/Teams/941/Show/France-Clermont-Foot,"Clermont Foot, ",22,",  DMC  ",12(15),1273	,1	,-	,4	,-	,0.7	,88	,0.3	,-	,6.57
https://www.whoscored.com/Players/422136/Show/Christopher-Wooh,Christopher Wooh,https://www.whoscored.com/Teams/313/Show/France-Rennes,"Rennes, ",22,",  D(C)  ",15(3),1388	,1	,-	,3	,1	,0.6	,85.8	,2	,-	,6.57
https://www.whoscored.com/Players/379700/Show/Keito-Nakamura,Keito Nakamura,https://www.whoscored.com/Teams/950/Show/France-Reims,"Reims, ",23,",  AM(L)  ",17(8),1390	,4	,1	,1	,-	,1.6	,77.4	,0.4	,-	,6.56
https://www.whoscored.com/Players/404491/Show/%C3%82ngelo,Ângelo,https://www.whoscored.com/Teams/148/Show/France-Strasbourg,"Strasbourg, ",19,",  AM(LR)  ",11(10),1089	,-	,3	,1	,-	,0.4	,75.2	,0.1	,1	,6.56
https://www.whoscored.com/Players/372412/Show/Mikkel-Desler,Mikkel Desler,https://www.whoscored.com/Teams/246/Show/France-Toulouse,"Toulouse, ",29,",  D(R),M(R)  ",19(5),1552	,-	,1	,2	,-	,0.7	,85.1	,0.9	,-	,6.56
