Name,Team,Age,Position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
Nicolas Höfler,"Freiburg, ",34,",  D(C),DMC  ",26(2),2333	,2.3	,1.1	,1	,0.1	,1.5	,1	,0.6	,-	,6.68
Matthijs de Ligt,"Bayern, ",24,",  D(C)  ",16(6),1391	,0.7	,0.9	,0.5	,0.3	,2.4	,0.2	,0.5	,-	,6.68
Phillipp Mwene,"Mainz, ",30,",  D(LR),M(LR)  ",23,2004	,1.5	,0.7	,1.5	,0.1	,1.7	,0.7	,0.1	,-	,6.68
Robin Koch,"Eintracht Frankfurt, ",27,",  D(C),DMC  ",31,2740	,1.2	,1	,0.6	,0.9	,4.4	,0.3	,0.8	,-	,6.68
Joakim Mæhle,"Wolfsburg, ",27,",  D(LR),M(LR)  ",27(3),2455	,2.1	,1	,0.6	,0.5	,1.9	,0.8	,0.2	,-	,6.68
Fredrik Jensen,"Augsburg, ",26,",  AM(CLR),FW  ",18(4),1352	,1	,0.5	,0.6	,-	,0.9	,0.6	,-	,-	,6.68
Kevin Mbabu,"Augsburg, ",29,",  D(R),M(R)  ",22(3),2049	,2	,1	,1.8	,0.2	,1.7	,0.7	,0.4	,-	,6.67
Davie Selke,"FC Koln, ",29,",  FW  ",16(3),1274	,0.2	,-	,1.3	,-	,1.1	,0.1	,0.2	,-	,6.67
John Anthony Brooks,"Hoffenheim, ",31,",  D(C)  ",18(3),1541	,1.3	,1.3	,0.8	,0.3	,5	,0.7	,0.8	,-	,6.67
Matthias Ginter,"Freiburg, ",30,",  D(CR),DMC  ",22(1),1918	,1.3	,0.7	,0.3	,0.4	,4	,0.6	,1.1	,1	,6.67
Jeffrey Gouweleeuw,"Augsburg, ",33,",  D(C)  ",29(1),2595	,1.2	,1.2	,0.8	,0.3	,3.5	,0.3	,0.8	,-	,6.67
Tim Skarke,"Darmstadt, ",27,",  AM(CLR),FW  ",29(1),2418	,0.9	,0.2	,1	,-	,0.6	,0.6	,0.1	,-	,6.65
Lovro Majer,"Wolfsburg, ",26,",  AM(CR)  ",25(7),2121	,1.2	,0.4	,1.2	,-	,0.4	,0.6	,-	,-	,6.65
Ihlas Bebou,"Hoffenheim, ",30,",  M(CLR),FW  ",16(16),1631	,0.7	,0.4	,0.8	,-	,0.4	,0.3	,0.1	,-	,6.65
Alexander Nübel,"Stuttgart, ",27,",  GK  ",30,2700	,0.1	,-	,-	,-	,0.8	,0.1	,-	,1	,6.64
Florian Kainz,"FC Koln, ",31,",  M(CLR)  ",29(4),2212	,0.8	,0.4	,0.6	,-	,0.6	,0.7	,0.2	,-	,6.64
Jordan Siebatcheu,"Borussia M.Gladbach, ",28,",  FW  ",18(7),1441	,0.4	,0.2	,1.4	,-	,1.1	,0.2	,0.1	,-	,6.64
Philipp Hofmann,"Bochum, ",31,",  FW  ",18(11),1578	,0.3	,0.1	,0.7	,-	,0.6	,0.1	,0.1	,-	,6.64
Arne Maier,"Augsburg, ",25,",  M(CR)  ",10(12),1000	,0.6	,0.3	,0.2	,-	,0.5	,0.4	,0.1	,-	,6.63
